identifier,sp_in_embedding,sequence_source,sequence_length_used,major_group,cysteine_group
NCBI|MICCO_IACJ01079596.1_80_283|Micrurus_corallinus,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|MICCO_FL590938.1_47_247|Micrurus_corallinus,no,mature_seq_fallback,67,Non-standard,Non-standard
NCBI|MICCO_FL590763.1_12_263|Micrurus_corallinus,no,mature_seq_fallback,66,Short-chain,Short-chain
NCBI|MICCO_IACJ01147547.1_C352_128|Micrurus_corallinus,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICCO_IACJ01051156.1_C353_108|Micrurus_corallinus,no,mature_seq_fallback,61,Short-chain,Short-chain
NCBI|MICCO_IACJ01060045.1_C293_57|Micrurus_corallinus,no,mature_seq_fallback,78,Short-chain,Short-chain
NCBI|MICCO_IACJ01060046.1_C299_57|Micrurus_corallinus,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|MICCO_IACJ01062266.1_C421_209|Micrurus_corallinus,no,mature_seq_fallback,71,Short-chain,Short-chain
NCBI|MICCO_IACJ01062270.1_C245_39|Micrurus_corallinus,no,mature_seq_fallback,69,Short-chain,Short-chain
NCBI|MICCO_IACJ01062272.1_C287_39|Micrurus_corallinus,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICCO_IACJ01062273.1_C457_209|Micrurus_corallinus,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICCO_IACJ01062274.1_C457_209|Micrurus_corallinus,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICCO_IACJ01138867.1_C388_128|Micrurus_corallinus,no,mature_seq_fallback,66,Short-chain,Short-chain
NCBI|MICCO_FL591005.1_5_238|Micrurus_corallinus,no,mature_seq_fallback,57,Short-chain,Short-chain
A0A0G3YJD1,yes,full_seq,81,Short-chain,Short-chain
A0A0H4BEF7,no,mature_seq_fallback,62,Short-chain,Short-chain
A0A0H4BEG1,yes,full_seq,88,Short-chain,Short-chain
A0A0H4BFQ4,yes,full_seq,86,Short-chain,Short-chain
A0A0H4BKJ5,yes,full_seq,87,Short-chain,Short-chain
A0A0H4BLZ2,yes,full_seq,98,Short-chain,Short-chain
C0HLK5,no,mature_seq_fallback,66,Short-chain,Short-chain
P86420,no,mature_seq_fallback,56,Short-chain,Short-chain
P86421,no,mature_seq_fallback,59,Short-chain,Short-chain
P86422,no,mature_seq_fallback,62,Short-chain,Short-chain
P86423,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
P86424,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
A0A0F7YZP6,yes,full_seq,84,Short-chain,Short-chain
A0A0F7Z039,yes,full_seq,84,Short-chain,Short-chain
A0A0F7Z3S7,yes,full_seq,88,Short-chain,Short-chain
U3EPI1,yes,full_seq,87,Short-chain,Short-chain
U3EPL2,yes,full_seq,84,Short-chain,Short-chain
U3EPL9,yes,full_seq,79,Short-chain,Short-chain
U3EPM4,yes,full_seq,88,Short-chain,Short-chain
U3EPM9,yes,full_seq,86,Short-chain,Short-chain
U3F5B5,yes,full_seq,87,Short-chain,Short-chain
U3F5D3,yes,full_seq,88,Short-chain,Short-chain
U3F5E9,no,mature_seq_fallback,57,Short-chain,Short-chain
U3FAC0,yes,full_seq,87,Short-chain,Short-chain
U3FAE1,yes,full_seq,84,Short-chain,Short-chain
U3FAE7,yes,full_seq,88,Short-chain,Short-chain
U3FAF0,yes,full_seq,88,Short-chain,Short-chain
U3FVG5,yes,full_seq,87,Short-chain,Short-chain
U3FVG7,yes,full_seq,87,Short-chain,Short-chain
U3FVH6,yes,full_seq,84,Plesiotypic,Plesiotypic
U3FVH8,yes,full_seq,82,Short-chain,Short-chain
U3FVI0,yes,full_seq,79,Short-chain,Short-chain
U3FVI5,yes,full_seq,79,Short-chain,Short-chain
U3FYQ0,yes,full_seq,84,Short-chain,Short-chain
U3FYQ5,yes,full_seq,79,Short-chain,Short-chain
U3FYQ7,yes,full_seq,79,Short-chain,Short-chain
U3FYQ9,no,mature_seq_fallback,62,Short-chain,Short-chain
U3FYR0,yes,full_seq,79,Short-chain,Short-chain
A0A0G3YLL2,yes,full_seq,78,Short-chain,Short-chain
A0A0H4BFP9,yes,full_seq,79,Short-chain,Short-chain
A0A0H4BJD1,yes,full_seq,87,Short-chain,Short-chain
A0A0H4BKI7,yes,full_seq,79,Short-chain,Short-chain
A0A0H4BLY9,yes,full_seq,87,Short-chain,Short-chain
K9MCH1,yes,full_seq,81,Short-chain,Short-chain
K9MCX0,yes,full_seq,79,Short-chain,Short-chain
NCBI|MICLE_IACI01040496.1_87_287|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,67,Non-standard,Non-standard
NCBI|MICLE_IACI01006908.1_C324_85|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,59,Short-chain,Short-chain
NCBI|MICLE_IACI01031826.1_C308_96|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,71,Short-chain,Short-chain
NCBI|MICLE_IACI01044558.1_65_268|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|MICLE_IACI01044606.1_1_216|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,71,Short-chain,Short-chain
NCBI|MICLE_IACI01115070.1_C396_142|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
NCBI|MICLE_IACI01104478.1_C425_174|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,66,Short-chain,Short-chain
NCBI|MICLE_IACI01080067.1_C243_43|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,67,Short-chain,Short-chain
NCBI|MICLE_IACI01044597.1_3_212|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,70,Short-chain,Short-chain
NCBI|MICLE_IACI01044503.1_1_195|Micrurus_lemniscatus_carvalhoi,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|MICLE_IACK01196011.1_C295_38|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,65,Non-standard,Short-chain
NCBI|MICLE_IACK01242085.1_46_240|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|MICLE_IACK01227912.1_2_244|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,60,Short-chain,Short-chain
NCBI|MICLE_IACK01193830.1_C315_121|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|MICLE_IACK01227913.1_2_235|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICLE_IACK01122846.1_2_205|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|MICLE_IACK01125772.1_95_352|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|MICLE_IACK01179260.1_41_280|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,59,Short-chain,Short-chain
NCBI|MICLE_IACK01116619.1_5_187|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,61,Short-chain,Short-chain
NCBI|MICLE_IACK01013110.1_53_289|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,58,Short-chain,Short-chain
NCBI|MICLE_IACK01022837.1_22_255|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICLE_IACK01022838.1_1_171|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICLE_IACK01096271.1_C304_71|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICLE_IACK01096289.1_C230_3|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,55,Short-chain,Short-chain
NCBI|MICLE_IACK01242084.1_46_240|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,56,Short-chain,Short-chain
NCBI|MICLE_IACK01123615.1_32_220|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
NCBI|MICLE_IACK01184724.1_C364_110|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
NCBI|MICLE_IACK01034485.1_24_263|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,59,Short-chain,Short-chain
NCBI|MICLE_IACK01096229.1_C271_65|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,69,Short-chain,Short-chain
NCBI|MICLE_IACK01096260.1_C330_127|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|MICLE_IACK01096291.1_C277_65|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,71,Short-chain,Short-chain
NCBI|MICLE_IACK01096292.1_C304_92|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,71,Short-chain,Short-chain
NCBI|MICLE_IACK01096298.1_C319_71|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICLE_IACK01096299.1_C319_71|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICLE_IACK01171799.1_C289_41|Micrurus_lemniscatus_lemniscatus,no,mature_seq_fallback,62,Short-chain,Short-chain
A0A2P1BSS8,yes,full_seq,82,Short-chain,Short-chain
A0A2P1BSS9,yes,full_seq,81,Short-chain,Short-chain
A0A2P1BST7,yes,full_seq,81,Short-chain,Short-chain
A0A2P1BSU3,yes,full_seq,79,Short-chain,Short-chain
B3EWF8,yes,full_seq,81,Short-chain,Short-chain
C0HJR1,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
C0HJR2,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
P80548,no,mature_seq_fallback,60,Short-chain,Short-chain
P0CAR1,no,mature_seq_fallback,60,Short-chain,Short-chain
NCBI|MICSP_IACM01156860.1_C373_146|Micrurus_spixii,no,mature_seq_fallback,75,Short-chain,Short-chain
NCBI|MICSP_IACM01022253.1_2_205|Micrurus_spixii,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|MICSP_IACM01088188.1_C375_139|Micrurus_spixii,no,mature_seq_fallback,58,Short-chain,Short-chain
NCBI|MICSP_IACM01115014.1_C372_136|Micrurus_spixii,no,mature_seq_fallback,58,Short-chain,Short-chain
NCBI|MICSP_IACM01130693.1_C333_100|Micrurus_spixii,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICSP_IACM01172481.1_C357_124|Micrurus_spixii,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICSP_IACM01174987.1_42_281|Micrurus_spixii,no,mature_seq_fallback,59,Short-chain,Short-chain
NCBI|MICSP_IACM01092118.1_13_264|Micrurus_spixii,no,mature_seq_fallback,63,Short-chain,Short-chain
NCBI|MICSP_IACM01149051.1_C220_32|Micrurus_spixii,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
NCBI|MICSP_IACM01149052.1_C220_32|Micrurus_spixii,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
NCBI|MICSP_IACM01086450.1_C267_70|Micrurus_spixii,no,mature_seq_fallback,66,Non-standard,Short-chain
NCBI|MICSP_IACM01029668.1_3_191|Micrurus_spixii,no,mature_seq_fallback,63,Short-chain,Short-chain
NCBI|MICSP_IACM01029686.1_3_191|Micrurus_spixii,no,mature_seq_fallback,63,Short-chain,Short-chain
NCBI|MICSP_IACM01029730.1_3_206|Micrurus_spixii,no,mature_seq_fallback,67,Non-standard,Short-chain
NCBI|MICSP_IACM01128650.1_C296_48|Micrurus_spixii,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICSP_IACM01148308.1_C341_108|Micrurus_spixii,no,mature_seq_fallback,77,Short-chain,Short-chain
P86094,no,mature_seq_fallback,58,Short-chain,Short-chain
P86095,no,mature_seq_fallback,59,Short-chain,Short-chain
P86096,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
P86097,no,mature_seq_fallback,60,Short-chain,Short-chain
P86098,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
P86099,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
NCBI|MICSU_IACN01048942.1_C402_145|Micrurus_surinamensis,no,mature_seq_fallback,65,Short-chain,Short-chain
NCBI|MICSU_IACN01077346.1_C348_109|Micrurus_surinamensis,no,mature_seq_fallback,59,Short-chain,Short-chain
NCBI|MICSU_IACN01080103.1_C346_110|Micrurus_surinamensis,no,mature_seq_fallback,58,Short-chain,Short-chain
NCBI|MICSU_IACN01083611.1_C321_118|Micrurus_surinamensis,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|MICSU_IACN01083613.1_C321_118|Micrurus_surinamensis,no,mature_seq_fallback,68,Short-chain,Short-chain
NCBI|MICSU_IACN01083857.1_C448_215|Micrurus_surinamensis,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICSU_IACN01083858.1_C259_26|Micrurus_surinamensis,no,mature_seq_fallback,57,Short-chain,Short-chain
NCBI|MICSU_IACN01083864.1_C451_215|Micrurus_surinamensis,no,mature_seq_fallback,58,Short-chain,Short-chain
NCBI|MICSU_IACN01095837.1_C328_134|Micrurus_surinamensis,no,mature_seq_fallback,64,Short-chain,Short-chain
NCBI|MICSU_IACN01100666.1_C226_26|Micrurus_surinamensis,no,mature_seq_fallback,66,Short-chain,Short-chain
NCBI|MICSU_IACN01003279.1_C250_56|Micrurus_surinamensis,no,mature_seq_fallback,64,Non-standard,Non-standard
NCBI|MICSU_IACN01093897.1_C387_133|Micrurus_surinamensis,no,mature_seq_fallback,64,Non-standard,Non-standard
NCBI|MICSU_IACN01100674.1_3_242|Micrurus_surinamensis,no,mature_seq_fallback,80,Non-standard,Plesiotypic
NCBI|MICSU_IACN01070774.1_C229_26|Micrurus_surinamensis,no,mature_seq_fallback,68,Non-standard,Non-standard
NCBI|MICSU_IACN01070786.1_C214_26|Micrurus_surinamensis,no,mature_seq_fallback,63,Non-standard,Non-standard
NCBI|MICSU_IACN01099285.1_C780_583|Micrurus_surinamensis,no,mature_seq_fallback,66,Non-standard,Short-chain
NCBI|MICSU_IACN01019456.1_2_211|Micrurus_surinamensis,no,mature_seq_fallback,70,Non-standard,Short-chain
NCBI|MICSU_IACN01019457.1_2_187|Micrurus_surinamensis,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICSU_IACN01037374.1_29_277|Micrurus_surinamensis,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICSU_IACN01070775.1_C305_84|Micrurus_surinamensis,no,mature_seq_fallback,74,Non-standard,Short-chain
NCBI|MICSU_IACN01070777.1_C297_49|Micrurus_surinamensis,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|MICSU_IACN01111607.1_C418_212|Micrurus_surinamensis,no,mature_seq_fallback,69,Non-standard,Short-chain
A0A0H4IRB3,yes,full_seq,88,Short-chain,Short-chain
A0A0H4IS80,no,mature_seq_fallback,62,Short-chain,Short-chain
A0A0H4IUP1,yes,full_seq,82,Short-chain,Short-chain
A0A0H4IVQ6,yes,full_seq,88,Short-chain,Short-chain
A0A0H4J521,yes,full_seq,79,Short-chain,Short-chain
A0A194APB1,yes,full_seq,87,Short-chain,Short-chain
A0A194APE1,yes,full_seq,88,Short-chain,Short-chain
A0A194APF0,yes,full_seq,86,Short-chain,Short-chain
A0A194APG0,yes,full_seq,88,Non-standard,Short-chain
A0A194APG5,yes,full_seq,84,Short-chain,Short-chain
A0A194APH0,yes,full_seq,84,Short-chain,Short-chain
A0A194APH5,yes,full_seq,79,Short-chain,Short-chain
A0A194API9,yes,full_seq,82,Short-chain,Short-chain
A0A194ARB2,yes,full_seq,88,Short-chain,Short-chain
A0A194ARB6,yes,full_seq,86,Short-chain,Short-chain
A0A194ARC1,yes,full_seq,79,Short-chain,Short-chain
A0A194ARC5,yes,full_seq,79,Short-chain,Short-chain
A0A194ARH7,yes,full_seq,88,Short-chain,Short-chain
A0A194ARJ0,yes,full_seq,78,Short-chain,Short-chain
A0A194ARJ5,yes,full_seq,84,Short-chain,Short-chain
A0A194ARK4,yes,full_seq,79,Short-chain,Short-chain
A0A194ARK8,yes,full_seq,87,Short-chain,Short-chain
A0A194ASD1,yes,full_seq,88,Short-chain,Short-chain
A0A194ASE0,yes,full_seq,81,Short-chain,Short-chain
A0A194ASE2,no,mature_seq_fallback,57,Short-chain,Short-chain
A0A194ASE3,yes,full_seq,85,Short-chain,Short-chain
A0A194ASE5,yes,full_seq,84,Short-chain,Short-chain
A0A194ASF5,no,mature_seq_fallback,62,Short-chain,Short-chain
A0A194AT81,yes,full_seq,87,Short-chain,Short-chain
A0A194ATA3,yes,full_seq,88,Short-chain,Short-chain
A0A194ATA6,yes,full_seq,88,Short-chain,Short-chain
A0A194ATB0,yes,full_seq,81,Short-chain,Short-chain
A0A194ATB5,yes,full_seq,79,Short-chain,Short-chain
A0A194ATC0,yes,full_seq,84,Short-chain,Short-chain
A0A194ATC3,yes,full_seq,84,Short-chain,Short-chain
A0A194ATD1,yes,full_seq,87,Short-chain,Short-chain
A0A194ATD7,yes,full_seq,82,Non-standard,Non-standard
P01389,no,mature_seq_fallback,72,Long-chain,Long-chain
P34074,no,mature_seq_fallback,71,Long-chain,Long-chain
P34075,no,mature_seq_fallback,61,Short-chain,Short-chain
P01399,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
P01420,no,mature_seq_fallback,61,Short-chain,Short-chain
P01421,no,mature_seq_fallback,61,Short-chain,Short-chain
P01422,no,mature_seq_fallback,61,Short-chain,Short-chain
P01453,no,mature_seq_fallback,60,Short-chain,Short-chain
P01454,no,mature_seq_fallback,60,Short-chain,Short-chain
P01455,no,mature_seq_fallback,60,Short-chain,Short-chain
P01459,no,mature_seq_fallback,60,Short-chain,Short-chain
P01460,no,mature_seq_fallback,60,Short-chain,Short-chain
P01461,no,mature_seq_fallback,60,Short-chain,Short-chain
P01462,no,mature_seq_fallback,69,Short-chain,Short-chain
P01464,no,mature_seq_fallback,60,Short-chain,Short-chain
P01465,no,mature_seq_fallback,60,Short-chain,Short-chain
P01466,no,mature_seq_fallback,60,Short-chain,Short-chain
P25677,no,mature_seq_fallback,60,Short-chain,Short-chain
P25678,no,mature_seq_fallback,61,Short-chain,Short-chain
P62390,no,mature_seq_fallback,62,Short-chain,Short-chain
P68417,no,mature_seq_fallback,61,Short-chain,Short-chain
E2ITZ6,yes,full_seq,86,Plesiotypic,Plesiotypic
E2ITZ7,yes,full_seq,81,Short-chain,Short-chain
O93422,yes,full_seq,86,Plesiotypic,Plesiotypic
P01442,yes,full_seq,81,Short-chain,Short-chain
P01443,yes,full_seq,81,Short-chain,Short-chain
P07525,no,mature_seq_fallback,60,Short-chain,Short-chain
P0DUK7,no,mature_seq_fallback,62,Short-chain,Short-chain
P49122,yes,full_seq,82,Short-chain,Short-chain
P49123,yes,full_seq,81,Short-chain,Short-chain
P60304,yes,full_seq,81,Short-chain,Short-chain
P60306,no,mature_seq_fallback,60,Short-chain,Short-chain
P60307,no,mature_seq_fallback,60,Short-chain,Short-chain
P60308,no,mature_seq_fallback,60,Short-chain,Short-chain
P60309,no,mature_seq_fallback,60,Short-chain,Short-chain
P60770,yes,full_seq,83,Short-chain,Short-chain
P60814,yes,full_seq,86,Plesiotypic,Plesiotypic
P79810,yes,full_seq,81,Short-chain,Short-chain
P80245,yes,full_seq,81,Short-chain,Short-chain
P80958,yes,full_seq,82,Short-chain,Short-chain
Q8UUK0,yes,full_seq,82,Short-chain,Short-chain
Q91124,yes,full_seq,81,Short-chain,Short-chain
Q91126,yes,full_seq,83,Short-chain,Short-chain
Q91135,yes,full_seq,81,Short-chain,Short-chain
Q91136,yes,full_seq,81,Short-chain,Short-chain
Q91137,yes,full_seq,83,Short-chain,Short-chain
Q98956,yes,full_seq,81,Short-chain,Short-chain
Q98957,yes,full_seq,81,Short-chain,Short-chain
Q98958,yes,full_seq,81,Short-chain,Short-chain
Q98959,yes,full_seq,81,Short-chain,Short-chain
Q98960,yes,full_seq,81,Short-chain,Short-chain
Q98961,yes,full_seq,81,Short-chain,Short-chain
Q98962,yes,full_seq,81,Short-chain,Short-chain
Q98965,yes,full_seq,82,Short-chain,Short-chain
Q9W6W6,yes,full_seq,82,Short-chain,Short-chain
Q9W6W9,yes,full_seq,81,Short-chain,Short-chain
Q9W716,yes,full_seq,83,Short-chain,Short-chain
Q9YGI1,yes,full_seq,86,Plesiotypic,Plesiotypic
Q9YGI4,yes,full_seq,86,Plesiotypic,Plesiotypic
P34076,no,mature_seq_fallback,62,Short-chain,Short-chain
NCBI|NAJHA_GHRV01000814.1_C597_352|Naja_haje,no,mature_seq_fallback,61,Short-chain,Short-chain
NCBI|NAJHA_GHRV01002244.1_C372_184|Naja_haje,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
P01401,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
P01415,no,mature_seq_fallback,61,Short-chain,Short-chain
P01457,no,mature_seq_fallback,60,Short-chain,Short-chain
P25674,no,mature_seq_fallback,71,Long-chain,Long-chain
P25675,no,mature_seq_fallback,61,Short-chain,Short-chain
P01391,no,mature_seq_fallback,71,Long-chain,Long-chain
P01445,no,mature_seq_fallback,60,Short-chain,Short-chain
P01446,no,mature_seq_fallback,60,Short-chain,Short-chain
P0CH80,no,mature_seq_fallback,60,Short-chain,Short-chain
P0DSM9,no,mature_seq_fallback,53,Non-standard,Non-standard
P0DSN0,no,mature_seq_fallback,61,Short-chain,Short-chain
P14541,no,mature_seq_fallback,62,Short-chain,Short-chain
P14613,no,mature_seq_fallback,62,Short-chain,Short-chain
P24779,no,mature_seq_fallback,60,Short-chain,Short-chain
P25679,no,mature_seq_fallback,64,Plesiotypic,Plesiotypic
P59275,no,mature_seq_fallback,61,Short-chain,Short-chain
P59276,no,mature_seq_fallback,61,Short-chain,Short-chain
P82462,no,mature_seq_fallback,65,Short-chain,Short-chain
P82463,no,mature_seq_fallback,65,Short-chain,Short-chain
P82464,no,mature_seq_fallback,65,Short-chain,Short-chain
P82849,no,mature_seq_fallback,62,Short-chain,Short-chain
P82935,yes,full_seq,86,Plesiotypic,Plesiotypic
Q9DGH9,yes,full_seq,81,Short-chain,Short-chain
P01383,no,mature_seq_fallback,71,Long-chain,Long-chain
P01388,no,mature_seq_fallback,71,Long-chain,Long-chain
P01400,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
P01424,no,mature_seq_fallback,61,Short-chain,Short-chain
P01448,no,mature_seq_fallback,60,Short-chain,Short-chain
P01473,no,mature_seq_fallback,61,Short-chain,Short-chain
P01474,no,mature_seq_fallback,61,Short-chain,Short-chain
P0DQQ1,no,mature_seq_fallback,72,Long-chain,Long-chain
P0DQQ2,no,mature_seq_fallback,71,Long-chain,Long-chain
P01431,no,mature_seq_fallback,62,Short-chain,Short-chain
P01432,no,mature_seq_fallback,69,Short-chain,Short-chain
P01452,no,mature_seq_fallback,60,Short-chain,Short-chain
P01467,no,mature_seq_fallback,60,Short-chain,Short-chain
P01469,no,mature_seq_fallback,60,Short-chain,Short-chain
P01470,no,mature_seq_fallback,60,Short-chain,Short-chain
P25517,no,mature_seq_fallback,60,Short-chain,Short-chain
C0HM08,no,mature_seq_fallback,62,Short-chain,Short-chain
C0HM09,no,mature_seq_fallback,71,Long-chain,Long-chain
P01440,no,mature_seq_fallback,60,Short-chain,Short-chain
P01447,no,mature_seq_fallback,60,Short-chain,Short-chain
P24780,no,mature_seq_fallback,60,Short-chain,Short-chain
P25668,no,mature_seq_fallback,71,Long-chain,Long-chain
P25669,no,mature_seq_fallback,71,Long-chain,Long-chain
P25671,no,mature_seq_fallback,71,Long-chain,Long-chain
P25672,no,mature_seq_fallback,71,Long-chain,Long-chain
P25673,no,mature_seq_fallback,71,Long-chain,Long-chain
P29179,no,mature_seq_fallback,62,Plesiotypic,Plesiotypic
P29180,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
P29181,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
P29182,no,mature_seq_fallback,65,Plesiotypic,Plesiotypic
P86382,no,mature_seq_fallback,60,Short-chain,Short-chain
P86538,no,mature_seq_fallback,60,Short-chain,Short-chain
P86540,no,mature_seq_fallback,60,Short-chain,Short-chain
P86541,no,mature_seq_fallback,60,Short-chain,Short-chain
NCBI|Nana_c3_dn_17|Naja_naja,no,mature_seq_fallback,65,Non-standard,Non-standard
None|Nana_c3_16|Naja_naja,no,mature_seq_fallback,60,Non-standard,Non-standard
None|Nana_c3_dn_19|Naja_naja,no,mature_seq_fallback,65,Non-standard,Non-standard
None|Nana_c3_dn_25|Naja_naja,yes,full_seq,109,Ly-6,Plesiotypic
None|Nana_c3_8|Naja_naja,no,mature_seq_fallback,104,Ly-6,Plesiotypic
None|Nana_c3_dn_12|Naja_naja,yes,full_seq,78,Non-standard,Non-standard
None|Nana_c3_dn_15|Naja_naja,yes,full_seq,81,Short-chain,Short-chain
None|Nnaj_SOZL01001066_1_np121212_gene_1_mRNA_2|Naja_naja,yes,full_seq,83,Short-chain,Short-chain
None|Nnaj_SOZL01001066_1_np121212_gene_1_mRNA_3|Naja_naja,yes,full_seq,83,Short-chain,Short-chain
None|Nana_c3_dn_7|Naja_naja,yes,full_seq,124,Ly-6,Plesiotypic
None|Nana_c3_dn_10|Naja_naja,no,mature_seq_fallback,106,Ly-6,Plesiotypic
None|Nana_c3_11|Naja_naja,yes,full_seq,127,Ly-6,Plesiotypic
None|Nana_c3_dn_9|Naja_naja,no,mature_seq_fallback,96,Ly-6,Pre-3FTx
NCBI|Nnaj_CM019150_1_np121212_gene_1_mRNA_10|Naja_naja,no,mature_seq_fallback,52,Non-standard,Non-standard
NCBI|Nnaj_CM019150_1_np121212_gene_1_mRNA_15|Naja_naja,no,mature_seq_fallback,52,Non-standard,Non-standard
NCBI|Nnaj_CM019150_1_np121212_gene_1_mRNA_14|Naja_naja,no,mature_seq_fallback,60,Short-chain,Short-chain
None|Nana_c3_dn_14|Naja_naja,no,mature_seq_fallback,60,Short-chain,Short-chain
None|Nana_c3_dn_18|Naja_naja,yes,full_seq,81,Short-chain,Short-chain
None|Nana_c3_dn_20|Naja_naja,no,mature_seq_fallback,60,Short-chain,Short-chain
None|Nana_c3_dn_26|Naja_naja,yes,full_seq,84,Short-chain,Short-chain
None|Nana_c3_dn_27|Naja_naja,yes,full_seq,79,Short-chain,Short-chain
None|Nnaj_SOZL01001066_1_np121212_gene_1_mRNA_4|Naja_naja,yes,full_seq,81,Short-chain,Short-chain
None|ScVE01q_1072_HRSCAF_1231_-_33|Naja_naja,yes,full_seq,72,Short-chain,unknown
None|ScVE01q_1072_HRSCAF_1231_-_32|Naja_naja,yes,full_seq,83,Short-chain,unknown
NCBI|Nnaj_CM019150_1_np121212_gene_1_mRNA_12|Naja_naja,no,mature_seq_fallback,65,Short-chain,Short-chain
None|Nana_c3_28|Naja_naja,no,mature_seq_fallback,64,Short-chain,Short-chain
None|Nana_c3_dn_23|Naja_naja,yes,full_seq,89,Short-chain,Short-chain
None|Nana_c3_dn_24|Naja_naja,no,mature_seq_fallback,65,Short-chain,Short-chain
None|Nnaj_SOZL01001066_1_np121212_gene_1_mRNA_1|Naja_naja,yes,full_seq,86,Short-chain,Short-chain
NCBI|Nnaj_CM019150_1_np121212_gene_1_mRNA_7_mka|Naja_naja,no,mature_seq_fallback,90,Non-standard,Plesiotypic
None|Nana_c1_1|Naja_naja,yes,full_seq,92,Non-standard,Non-standard
